X,Y,OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,PREFERRED_CITY,FEATURE_SOURCE
-122.58424231381,47.8557618902796,1,98364,98364,035,PO Box,PORT GAMBLE,Placed Point
-122.202454356642,47.620601262885,2,98009,98009,033,PO Box,BELLEVUE,Placed Point
-122.186795283234,47.611861281919,3,98015,98015,033,PO Box,BELLEVUE,Placed Point
-121.972726333818,47.4199353437703,4,98025,98025,033,PO Box,HOBART,Placed Point
-122.234415792243,47.3805923948341,5,98035,98035,033,PO Box,KENT,Placed Point
-122.199724352482,47.7611498722798,6,98041,98041,033,PO Box,BOTHELL,Placed Point
-121.935435073002,47.5252991681127,7,98050,98050,033,PO Box,PRESTON,Placed Point
-122.361610249976,47.4669369014453,8,98062,98062,033,PO Box,SEAHURST,Placed Point
-122.314201649431,47.3071277788209,9,98063,98063,033,PO Box,FEDERAL WAY,Placed Point
-122.199165066478,47.3873730986476,10,98064,98064,033,PO Box,KENT,Placed Point
-122.230054053043,47.3104818791537,11,98071,98071,033,PO Box,AUBURN,Placed Point
-122.194421233998,47.6785185126036,12,98083,98083,033,PO Box,KIRKLAND,Placed Point
-122.357513187298,47.3001530036936,13,98093,98093,033,PO Box,FEDERAL WAY,Placed Point
-122.328387427198,47.581518417513,14,98124,98124,033,PO Box,SEATTLE,Placed Point
-122.254990389499,47.4567556377055,15,98138,98138,033,PO Box,SEATTLE,Placed Point
-122.312844861398,47.6595170252473,16,98145,98145,033,PO Box,SEATTLE,Placed Point
-122.346375176962,47.7336833986932,17,98160,98160,033,PO Box,SEATTLE,Placed Point
-122.338619380061,47.6113840546446,18,98181,98181,033,Unique,SEATTLE,Placed Point
-122.333624866559,47.606268348903,19,98185,98185,033,Unique,SEATTLE,Placed Point
-122.334453982314,47.6132078531056,20,98191,98191,033,Unique,SEATTLE,Placed Point
-122.231312626889,47.2164130209037,21,98352,98352,053,Unique,SUMNER,Placed Point
-122.442257581426,47.1466767189872,22,98447,98447,053,Unique,TACOMA,Placed Point
-122.465592247558,47.3902002935858,23,98013,98013,053,PO Box,BURTON,Placed Point
-122.325328492724,47.8110231088666,24,98046,98046,061,PO Box,LYNNWOOD,Placed Point
-122.322341058937,47.3489204465413,25,98054,98054,033,Former,REDONDO,Placed Point
-122.510710011154,47.6644503435066,26,98061,98061,035,PO Box,ROLLINGBAY,Placed Point
-122.094660730774,47.6698005724677,27,98073,98073,033,PO Box,REDMOND,Placed Point
-122.219347775182,47.8538905748664,28,98082,98082,061,PO Box,BOTHELL,Placed Point
-122.294394651592,47.391504360143,29,98089,98089,033,PO Box,KENT,Placed Point
-122.336415740994,47.6087164966622,30,98111,98111,033,PO Box,SEATTLE,Placed Point
-122.354884658081,47.6893685644697,31,98113,98113,033,PO Box,SEATTLE,Placed Point
-122.326089706896,47.5986266468448,32,98114,98114,033,PO Box,SEATTLE,Placed Point
-122.37839505587,47.6703920087411,33,98127,98127,033,PO Box,SEATTLE,Placed Point
-122.336910383763,47.6168391897021,34,98129,98129,033,Unique,SEATTLE,Placed Point
-122.398949836458,47.6394004593425,35,98139,98139,033,PO Box,SEATTLE,Placed Point
-122.335327813878,47.6045818085988,36,98174,98174,033,Standard,SEATTLE,Placed Point
-122.335149223727,47.599077576915,37,98194,98194,033,PO Box,SEATTLE,Placed Point
-122.334694199881,47.6075601026162,38,98161,98161,033,Standard,SEATTLE,Placed Point
-122.2953270493,47.7209386172117,39,98165,98165,033,PO Box,SEATTLE,Placed Point
-122.336764813614,47.6222807107673,40,98170,98170,033,Unique,SEATTLE,Placed Point
-122.250715824282,47.4299617888947,41,98189,98189,033,Unique,SEATTLE,Placed Point
-121.554096249801,47.8203854212688,42,98256,98256,061,PO Box,INDEX,Placed Point
-121.742305459765,47.8672937748913,43,98293,98293,061,PO Box,STARTUP,Placed Point
-122.544615678464,47.5547451234031,44,98353,98353,035,PO Box,MANCHESTER,Placed Point
-122.523516120845,47.5221557328737,45,98384,98384,035,PO Box,SOUTH COLBY,Placed Point
-122.61527839719,47.5455528248898,46,98378,98378,035,PO Box,RETSIL,Placed Point
-122.655761088031,47.6109066797296,47,98393,98393,035,PO Box,TRACYTON,Placed Point
-122.500949345354,47.5123368595437,48,98386,98386,035,PO Box,SOUTHWORTH,Placed Point
-122.216783750192,47.9911624074439,49,98207,98207,061,Unique,EVERETT,Placed Point
-122.096741217666,47.927296290071,50,98291,98291,061,PO Box,SNOHOMISH,Placed Point
-122.25223497006,48.2007533112222,51,98287,98287,061,PO Box,SILVANA,Placed Point
-121.892367564861,47.3144080463991,52,98048,98048,033,Former,PALMER,Placed Point
-122.208369434261,48.1517399036722,53,98259,98259,061,PO Box,NORTH LAKEWOOD,Placed Point
-122.210533091656,47.9761351588577,54,98206,98206,061,PO Box,EVERETT,Placed Point
-122.210537082544,47.9759864970507,55,98213,98213,061,PO Box,EVERETT,Placed Point
-122.595865652843,47.1206510577101,56,98434,98434,053,Former,NORTH FORT LEWIS,Placed Point
-122.575609169327,47.1352229792438,57,98493,98493,053,Unique,TACOMA,Placed Point
-122.265562276081,47.308933080607,58,98001,98001,033,Standard,AUBURN,Polygon Centroid
-122.215606352669,47.3080659678811,59,98002,98002,033,Standard,AUBURN,Polygon Centroid
